,country,current_role,yearly_compensation,programming_languages,ides,visualization,activities,gender,primary_tool,ages
11599,Belarus,Data Analyst,"10,000-14,999","Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook",Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
11603,United States of America,Data Analyst,0-999,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Woman,"Local development environments (RStudio, JupyterLab, etc.)",middle
11608,Kenya,Data Analyst,0-999,"Python, R, SQL, C++, Java, Javascript, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm , Notepad++,MATLAB ,Jupyter Notebook"," Matplotlib ,Leaflet / Folium ",Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
11627,Canada,Data Analyst,"125,000-149,999", SQL, None, None,Analyze and understand data to influence product or business decisions,Man,unknown,middle
11630,Nigeria,Data Analyst,0-999, Javascript,Visual Studio Code (VSCode) , None,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
11640,Russia,Data Analyst,"1,000-1,999","Python, R, C++, MATLAB","RStudio ,Visual Studio Code (VSCode) ,PyCharm ,MATLAB "," Matplotlib ,Seaborn ",Do research that advances the state of the art of machine learning,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
11643,Singapore,Data Analyst,"4,000-4,999","Python, R, Javascript, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",older
11657,Colombia,Data Analyst,"50,000-59,999",Python,Jupyter Notebook," Matplotlib ,D3 js ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",Man,unknown,middle
11668,United States of America,Data Analyst,"50,000-59,999","Python, Other"," Notepad++,Jupyter Notebook, Other"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Bokeh ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
11700,Sweden,Data Analyst,unknown,"Python, R, SQL","RStudio ,Visual Studio ,Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",unknown,Man,unknown,middle
11720,Egypt,Data Analyst,unknown,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",Plotly / Plotly Express ,unknown,Man,unknown,younger
11743,India,Data Analyst,"7,500-9,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,unknown,younger
11750,Malaysia,Data Analyst,"10,000-14,999",unknown,unknown,unknown,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
11752,United Kingdom of Great Britain and Northern Ireland,Data Analyst,"30,000-39,999","Python, R, SQL","RStudio ,Jupyter Notebook","Seaborn ,Ggplot / ggplot2 ",None of these activities are an important part of my role at work,Woman,"Local development environments (RStudio, JupyterLab, etc.)",older
11759,United Kingdom of Great Britain and Northern Ireland,Data Analyst,"2,000-2,999","Python, SQL, Javascript","Visual Studio Code (VSCode) , Spyder, Sublime Text,Jupyter Notebook","Seaborn ,Plotly / Plotly Express ,D3 js ,Bokeh ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
11774,Canada,Data Analyst,"100,000-124,999"," R, SQL","RStudio , Notepad++","Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
11793,United States of America,Data Analyst,"70,000-79,999", SQL, None, None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
11794,Russia,Data Analyst,"50,000-59,999","Python, R, SQL","RStudio ,Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
11796,India,Data Analyst,0-999,unknown,unknown,unknown,Other,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
11801,India,Data Analyst,"7,500-9,999","Python, R, SQL, Java","RStudio ,Visual Studio Code (VSCode) ,PyCharm , Notepad++,Jupyter Notebook, Other"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
11812,Argentina,Data Analyst,"4,000-4,999","Python, SQL","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
11818,Russia,Data Analyst,"1,000-1,999","Python, SQL","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Bokeh ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
11820,China,Data Analyst,"80,000-89,999","Python, SQL, C",Visual Studio Code (VSCode) ," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
11860,China,Data Analyst,"20,000-24,999","Python, SQL",Visual Studio Code (VSCode) ," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
11865,China,Data Analyst,0-999,"Python, SQL, C, C++, Java, MATLAB",Visual Studio Code (VSCode) , Matplotlib ,Analyze and understand data to influence product or business decisions,Man,Other,younger
11871,India,Data Analyst,"4,000-4,999", Other,"RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
11877,India,Data Analyst,unknown,"Python, C", Spyder," Matplotlib ,Seaborn ",unknown,Man,unknown,younger
11893,India,Data Analyst,unknown,"Python, R",Jupyter Notebook,unknown,unknown,Man,unknown,younger
11897,India,Data Analyst,"25,000-29,999","Python, R, SQL",Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
11906,Other,Data Analyst,"1,000-1,999","Python, SQL, Javascript, MATLAB","RStudio ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Woman,"Local development environments (RStudio, JupyterLab, etc.)",younger
11933,Taiwan,Data Analyst,"30,000-39,999",Python,"Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
11944,Japan,Data Analyst,"4,000-4,999","Python, MATLAB","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows, Do research that advances the state of the art of machine learning",Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",younger
11950,India,Data Analyst,"7,500-9,999","Python, SQL"," Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
11991,Ecuador,Data Analyst,"20,000-24,999","Python, R","RStudio , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
11996,United States of America,Data Analyst,"80,000-89,999"," R, SQL, Other","RStudio , Sublime Text","Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,Man,"Advanced statistical software (SPSS, SAS, etc.)",middle
12008,China,Data Analyst,"10,000-14,999",Python,"Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ",None of these activities are an important part of my role at work,Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
12024,United Kingdom of Great Britain and Northern Ireland,Data Analyst,"50,000-59,999",Python,"PyCharm ,Jupyter Notebook", None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
12051,Kenya,Data Analyst,0-999," R, SQL","RStudio ,Visual Studio ,Visual Studio Code (VSCode) , Sublime Text",Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
